ID,名称,lon,lat,房价,tese,城区名,地址,建筑年代,geometry,街道,县,市,省
172b0af76eb939505ecfef3302dc37e3,永定门东街中里,116.41449,39.879802,97019.0,交通出行$小区南侧有地铁14号线景泰站，东北侧地铁5号线天坛东门站，西北侧有地铁8号线天桥站。永定门东公交站：36路，53路，62路，122路，141路，958路等。天坛南门公交站：36路，122路，958路，141路，专202路等。开车向南直接上二环，交通便利。$$小区介绍$小区为公园管理局的宿舍楼，环境没得挑，是永定门东街西、中、东三个里中环境zui好的，楼龄也是ZUI新的，而且去年疫情的时候，小区旁侧都安装铁门，进出口都增设保安，绿化也不错，管理很好，楼龄的建成年代控制在1976年左右。,东城小区,(东城天坛)永定门东街中里,1970,POINT (116.41449 39.879802),天坛街道,东城区,北京市,北京市
e1ed40084017ff4c49b905cd32556f15,中信所小区,116.298893,39.997732,114138.0,"交通出行$距离地铁西苑站直线距离780米，西苑医院公交站421米 途径公交；389 394 534 563 608 海淀公园公交站513米. 384 534 563 608 610 西苑公交站663米.331 332 333 384（以上数据来源于高德地图）$$小区介绍$中信所西苑 社区占地面积约 2 万平方米，绿地面积约4千平方米，共有楼房 7座，居住户302户，社区内居民文化程度高，思想素质高，科研人员、科技干部、退离休人员多等特点。社区风气良好，环境整洁优美，居民生活方便，治安井然有序的基本格局。$$周边配套$从咱们小区大概走800米就能到西苑地铁站，距离小区700米有龙湖星悦荟, 方便您的日常生活。距离小区100米有达三甲标准的中国中医科学院西苑医院,离小区大概400米有A未来公园、亮丽园、海淀公园等$$适宜人群$本房楼层低，适宜首付不多的客户，也适合年轻人，老人 ，带小孩的家庭。距离医院，便利店都比较近。",海淀小区,(海淀颐和园)西苑100号院,1987,POINT (116.298893 39.997732),青龙桥街道,海淀区,北京市,北京市
53ab9378b76c2a1e27886f1be97967e2,富力丹麦小镇B区,116.3204763,39.62975375,34042.0,交通出行$小区门口有多路公交车直达天宫院地铁站 小区南门有兴55路公交车可以到地铁4号线天宫院总站 兴54路、兴65路、兴64路、X108等多路公交车 方便交通$$小区介绍$房子是富力地产开发建造的独栋别墅区 物业是富力自己管理 服务态度好 小区封闭式管理 管家式服务 保安24小时值班 出入均需刷卡 小区物业费3元 燃气自采暖,大兴小区,(大兴大兴新机场)龙景湾一区51,2006,POINT (116.32047626158 39.629753745324),庞各庄镇,大兴区,北京市,北京市
dae58b7006f381b19b3ba448f807e07b,嘉瑞通小区,116.147926,39.730421,26257.0,交通出行$交通方便的小区，有616 901 等多路公交车，良乡地铁站可换成9号线10号线$$小区介绍$2005年建成的小区，小区共5栋 两梯十户的塔楼，小区在拱辰大街上，交通方便 配套齐全$$周边配套$小区西北侧有小型公园，小区位于良乡主干道拱辰南大街最南侧，交通方便，生活配套齐全，购物广场有：家乐福购物广场，国泰百货，苏宁易购，京良生活广场，良乡医院，基本可以满足您的生活所需。$$适宜人群$房子有电梯，上下楼方便，房子2005年建成钢混，贷款不受限制，配套齐全。,房山小区,(房山良乡)拱辰南大街93号,2005,POINT (116.147926 39.730421),拱辰街道,房山区,北京市,北京市
5255d2cdd5f3002a581c6707dac776a7,康馨家园,116.641395,40.319375,33394.0,交通出行$康馨家园位于怀柔南大街北侧，门口就有多路公交车，不论是去北京市区还是去怀柔各个城镇都挺方便；$$小区介绍$本小区是1996年建成的商品房；小区总共有12栋楼，物业公司是：北京博旺家园物业管理有限公司，物业费2.17元/平米/月；$$适宜人群$房子面积比较大，适合家庭人口较多；适合做改善型的选择；适合对居住空间要求比较高的家庭；,怀柔小区,(怀柔怀柔)怀柔区南大街,1995,POINT (116.641395 40.319375),怀柔地区,怀柔区,北京市,北京市
0fa224055d16b8e4c5081c73ef9a5a16,首开知语城,116.466716,40.002198,87593.0,"交通出行$小区位于四环与五环之间，属于望京西板块，上四环走京承比较方便，可乘坐地铁望京站14、15号线，地铁望京西13、15号线，出门有公交车途径571路,985路,471路,660路，专112路.538路.851路等公交车$$小区介绍$09年小区，首开集团开发的，共三期，一期一栋板楼，二期四栋板楼，三期两栋塔楼，首开物业，24小时安保$$周边配套$小区旁边几大公园围绕，望承公园，望和公园，龙韵国际公园，桐城公园等，相邻梦秀商场综合生活商场，华联嘉茂，家乐福商场，三甲医院望京医院，工商银行，平安银行，招商银行，建设银行，光大银行，农业银行等$$适宜人群$适合对户型朝向要求高的客户，采光要求高的客户，对车位有要求的客户，地下车位1：1.5,私密性要求高的客户，适合有老人或是小孩居住，对要求安静不临街的客户，这个社区是首开知语城一期一共才184户居住人口少，适合居住",朝阳小区,"(朝阳望京)湖光中街首开知语城, 南湖中园",2006,POINT (116.466716 40.002198),东湖街道,朝阳区,北京市,北京市
0dfe9917a84dbcc285b61073a7589ab3,龙华园,116.332045,40.081334,55264.0,"交通出行$小区北门龙华园公交站有多辆公交车经过如：307。344.,519,996,462,463,428,407等等，出行方便，小区北面有蔬菜水果店，西北角是美廉美，东侧是港龙，生活方便。$$小区介绍$龙华园小区是回龙观最早一批商品房社区，建筑质量好，配套完善。小区是板楼社区，车位费150元/月；集中供暖，取暖费30元/平；物业费0.73元/平/月；院内有博苑实验幼儿园，多处健身器材；24小时门卫值班，安全性高。$$周边配套$配套完善，小区位于回龙观西大街和育知西路交汇处 配套齐全 小区北面就是美廉美 西边有华联和永辉 生活便利。最近地铁13号线龙泽站 ，东区里面有普惠制博苑幼儿园。$$适宜人群$适合一家两代或者三代群体，家里来客人居住不拥挤，老人帮忙照看小孩有独立房间，二胎家庭一步到位",昌平小区,(昌平回龙观)回龙观西大街66号,1993,POINT (116.332045 40.081334),龙泽园街道,昌平区,北京市,北京市
f5343c8ad971e2338d88492ed06b0fa2,金色漫香林六期,116.522974,39.828462,25848.0,"交通出行$小区距离东五环1公里，开车出行方便，小区南门有公交站，有820,986，997，440等$$小区介绍$金色漫香林六期是金融街地产开发的第六期产品，可以办公，小区环境幽雅静谧，人车分流$$周边配套$小区有城乡世纪广场、 、美联尚品购物方便，同仁医院（为三甲医院）等",大兴小区,"(大兴亦庄)东南五环大羊房桥14号出口东南200米, 三羊中路6号院",2015,POINT (116.522974 39.828462),十八里店地区（乡）,朝阳区,北京市,北京市
0a6d5ab6584354668ca38a949a2a25fc,阳光星苑北区,116.377536,39.799961,43366.0,交通出行$小区出北门是槐房西路，往北有19号线以及4号线新宫站，槐房西路是城市主干道往北可以直接到达主城区西单，往南链接南五环，北门往西就是公交站槐房西路南口站有556、954、369、专67、827、829、474等共九班公交。$$小区介绍$小区是2013年左右的小区，小区的绿化良好，春夏时节小区内部郁郁葱葱的很舒适。 小区物业是京丰物业，物业比较负责，小区楼道每天都有人打扫。$$周边配套$有南苑公园，槐新公园，还有在建的南苑湿地公园。在小区北面2.5公里处有万达广场，医院有南苑医院，天坛医院，博爱医院。配套设施齐全，生活方便$$适宜人群$本房适合刚需客户首套置业和改善客户二次置换;距离新宫地铁2100米(数据来源于百度地图)，乘坐公交方便，在地铁4号线沿线工作，和在建的地铁19号线沿线工作的客户可以考虑。,丰台小区,(丰台新宫)西红门路18号院,2013,POINT (116.377536 39.799961),南苑地区,丰台区,北京市,北京市
d1742130792f7400aec8e25a9961a45c,航南小区,116.355646,39.982502,101076.0,交通出行$本房位于北京航空航天大学南门，距离10号线13号线知春路站280米（百度地图测量），开车向北出发就是五道口，向南就是北三环蓟门桥，向东出发到鸟巢，向西出发到中关村，交通便利。$$小区介绍$航南小区是2000年建成入住的小区，属于知春路商圈，地理位置优越，文化氛围浓厚。 房子属于改善居家的宜居户型，一家人居住空间都够用 。$$周边配套$小区生活配套很齐全，地铁10号线和13号线交汇知春路站，小区东侧400米是元大都遗址公园，商场有翠微百货，美廉美，华联商场等，餐饮，银行，公交也都有，衣食住行很方便。$$适宜人群$房子户型面积适中，一家人居住正好，方正无浪费，视野好，阳光享受时间久，户型动静分区。 电梯房：房子一层6户，两部电梯，总体户数少，密度低，进出方便。 交通方便：小区南北两侧300米之内分别有地铁13号线知春路站和10号线西土城站。,海淀小区,(海淀知春路)知春路13号,1999,POINT (116.355646 39.982502),花园路街道,海淀区,北京市,北京市
